Local Time,Label (Target),Attention,Meditation,Alpha,Beta,Theta,Delta,Gamma,Head Pose,Gaze,Emotion
01:59:12 24/5/2026,Tập trung,45,53,63952,175523,68347,110812,31662,Cúi xuống,Nhìn thẳng,Buồn bã
01:59:13 24/5/2026,Tập trung,75,41,72788,207963,73944,115993,32126,Quay phải,Liếc trái,Bình thường
01:59:14 24/5/2026,Tập trung,78,42,97003,223730,59179,119222,24056,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:15 24/5/2026,Tập trung,81,54,109243,276895,46710,143596,31988,Quay phải,Liếc trái,Vui vẻ
01:59:16 24/5/2026,Tập trung,98,59,62361,253733,52989,130711,34994,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:17 24/5/2026,Tập trung,84,57,102108,212429,20220,79568,37453,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:18 24/5/2026,Tập trung,35,45,72547,181419,21408,60694,45215,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:19 24/5/2026,Sao nhãng,98,52,52912,198957,51940,144880,21198,Quay phải,Liếc phải,Bình thường
01:59:20 24/5/2026,Tập trung,88,53,90085,234088,72618,51802,27340,Quay phải,Liếc lên,Bình thường
01:59:21 24/5/2026,Tập trung,96,50,89295,252997,76058,93231,37328,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:22 24/5/2026,Tập trung,87,55,68770,174690,67801,94699,32881,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:23 24/5/2026,Tập trung,79,45,59921,203642,56887,94830,38066,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:24 24/5/2026,Tập trung,92,43,97725,154352,49895,110434,27683,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:25 24/5/2026,Tập trung,79,58,72274,137795,58530,100752,38037,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:27 24/5/2026,Tập trung,82,46,112927,226109,20296,55660,38514,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:28 24/5/2026,Tập trung,79,60,73556,231295,31124,114732,40396,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:29 24/5/2026,Sao nhãng,75,51,99625,137399,27882,94553,18566,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:30 24/5/2026,Tập trung,79,59,44090,193017,76385,114998,40190,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:31 24/5/2026,Tập trung,11,45,83909,257129,41869,68105,27788,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:32 24/5/2026,Tập trung,77,40,79873,168637,59210,73147,29532,Nhìn thẳng,Nhìn thẳng,Buồn bã
01:59:33 24/5/2026,Tập trung,76,44,98658,263916,23713,115166,37269,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:34 24/5/2026,Tập trung,87,49,104206,216588,62572,71596,40237,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:35 24/5/2026,Tập trung,83,56,98418,216570,22237,144573,30861,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:36 24/5/2026,Tập trung,86,48,85632,195444,48227,138987,31798,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:37 24/5/2026,Tập trung,97,56,86687,198973,79041,100088,17661,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:38 24/5/2026,Tập trung,88,56,62002,174384,45544,74267,31154,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:39 24/5/2026,Tập trung,87,58,79131,148985,36050,63918,42837,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:40 24/5/2026,Tập trung,90,41,76769,237808,21775,142958,24724,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:41 24/5/2026,Tập trung,91,56,67066,186945,56157,72659,40553,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:42 24/5/2026,Tập trung,88,54,101279,131994,61111,138639,39449,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:43 24/5/2026,Tập trung,83,51,89674,163964,25418,125549,29792,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:44 24/5/2026,Tập trung,98,46,51607,178612,22481,66809,31546,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:45 24/5/2026,Tập trung,88,43,100722,231406,64828,56061,48191,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:46 24/5/2026,Tập trung,79,52,109963,230157,51705,71755,35564,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:47 24/5/2026,Tập trung,96,57,96994,273459,79548,120806,32081,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:48 24/5/2026,Tập trung,96,47,83323,288167,26839,85442,38099,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:49 24/5/2026,Tập trung,75,44,97784,156138,44120,100056,20767,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:50 24/5/2026,Tập trung,87,56,60115,249278,71122,116999,15977,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:51 24/5/2026,Tập trung,90,47,86898,156913,25664,117756,18681,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:52 24/5/2026,Tập trung,81,42,103785,213918,27757,53265,35318,Quay trái,Liếc xuống,Vui vẻ
01:59:53 24/5/2026,Tập trung,85,43,45785,247311,25536,130267,38004,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:54 24/5/2026,Tập trung,88,46,82553,211991,62565,99971,18386,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:55 24/5/2026,Tập trung,97,50,68860,107830,34135,126925,27268,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:56 24/5/2026,Tập trung,92,47,93962,114658,25935,110614,36393,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:57 24/5/2026,Tập trung,81,51,92325,165002,43905,85272,31295,Nhìn thẳng,Nhìn thẳng,Vui vẻ
01:59:58 24/5/2026,Tập trung,88,45,109128,185056,46894,69673,33794,Nhìn thẳng,Nhìn thẳng,Bình thường
01:59:59 24/5/2026,Tập trung,84,40,113508,193899,52452,109992,41589,Nhìn thẳng,Nhìn thẳng,Buồn bã
02:00:00 24/5/2026,Tập trung,76,59,71725,203133,32403,115409,29847,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:01 24/5/2026,Tập trung,79,50,92705,158991,50208,120541,28894,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:02 24/5/2026,Tập trung,96,56,81567,196106,36584,85737,23341,Cúi xuống,Liếc lên,Bình thường
02:00:03 24/5/2026,Sao nhãng,80,56,94964,172239,76533,97297,31018,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:04 24/5/2026,Tập trung,86,53,55797,209546,21255,129656,29305,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:05 24/5/2026,Sao nhãng,94,59,74479,214791,52620,73152,36243,Nhìn thẳng,Nhìn thẳng,Vui vẻ
02:00:07 24/5/2026,Tập trung,95,47,52082,160444,59531,139280,33099,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:08 24/5/2026,Tập trung,89,50,85434,125445,26981,121909,44249,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:09 24/5/2026,Tập trung,83,47,73551,252636,40405,96350,26224,Quay phải,Liếc lên,Bình thường
02:00:10 24/5/2026,Tập trung,93,50,76254,248761,31424,67405,35224,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:11 24/5/2026,Tập trung,86,50,73082,285082,48805,57001,29298,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:12 24/5/2026,Tập trung,96,56,86904,274660,47962,113730,30104,Nhìn thẳng,Nhìn thẳng,Bình thường
02:00:13 24/5/2026,Tập trung,93,40,80759,249141,69499,146726,41101,Quay trái,Liếc lên,Bình thường
02:00:14 24/5/2026,Tập trung,88,47,95714,147584,47382,73174,27098,Nhìn thẳng,Nhìn thẳng,Bình thường
